Material_ID,Formula,element_A,element_Aprime,element_B,element_Bprime,Formation_Energy_eV_atom,Energy_Above_Hull_eV,Band_Gap_eV,Total_Magnetization_uB,Volume_A3,Density_g_cm3,Space_Group_Symbol,Space_Group_Number,EN_A,EN_Aprime,EN_B,EN_Bprime,EN_O,EN_avg,Shannon_A,Shannon_Aprime,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Val_A,Val_Aprime,Val_B,Val_Bprime,Val_avg,Total_A_Charge,Group_B,Group_Bprime,Sum_Ox_B_Bprime,Ox_B,Ox_Bprime,d_electrons_B,d_electrons_Bprime,Total_d_electrons,Spin_Proxy_Distance,HS_moment_B,HS_moment_Bprime,Total_HS_FM,Total_HS_FiM,d_AO,d_BO,d_BprimeO,d_avg,E_GNN,M_net,M_abs
mp-2227887,BaMgBi2O5,Bi,Bi,Ba,Mg,-1.6363795022222232,0.6390484497222229,0.0,0.0003982,174.96769140736558,6.259867885043268,P4/mmm,123,1.9,1.9,0.89,1.31,3.44,1.1,1.03,1.03,1.35,0.72,0.7056548165434539,0.6086956521739131,3,3,4,4,4.0,6,4,4,6,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,2.4299999999999997,2.75,2.12,2.435,-1.6264452191619985,0.0003982,2.0
mp-2242142,BaMgBi2O5,Bi,Bi,Ba,Mg,-1.5249992888888895,0.7504286630555566,0.8410000000000002,0.0,182.79418452847025,5.991846158489463,P4/mmm,123,1.9,1.9,0.89,1.31,3.44,1.1,1.03,1.03,1.35,0.72,0.7056548165434539,0.6086956521739131,3,3,4,4,4.0,6,4,4,6,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,2.4299999999999997,2.75,2.12,2.435,-1.5277645749123132,0.0,2.0
mp-768636,LiBi2BO5,Bi,Bi,Li,B,-2.0386030161111117,0.09842523166666872,1.7318000000000007,0.0007881,464.9530287824633,7.367249748796289,Pnma,62,1.9,1.9,0.98,2.04,3.44,1.51,1.03,1.03,0.76,0.27,0.8972686570670027,0.9514563106796116,3,3,4,4,4.0,6,4,4,6,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,2.4299999999999997,2.16,1.67,1.915,-2.025649245349098,0.0007881,2.0
mp-768764,Li2BiBO5,Li,Li,Bi,B,-2.0693998350925935,0.06405714513888494,0.0,0.002183,188.2881638628227,5.532604315407077,P4/nmm,129,0.98,0.98,1.9,2.04,3.44,1.97,0.76,0.76,1.03,0.27,0.7450490962746062,1.1692307692307693,1,1,5,4,4.5,2,15,4,10,7.75,2.25,7.25,1.75,9.0,4.0,2.75,1.75,4.5,1.0,2.16,2.4299999999999997,1.67,2.05,-2.038939237964433,0.002183,4.5
mp-775928,Li2VPO5,Li,Li,V,P,-2.614071395145503,0.08917004995371425,1.2372999999999998,8.0000088,373.2723816544944,3.1281525715787573,P1,1,0.98,0.98,1.63,2.19,3.44,1.91,0.76,0.76,0.79,0.44,0.7579903957136194,0.5691056910569107,1,1,5,4,4.5,2,5,4,10,5.25,4.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.16,2.19,1.8399999999999999,2.0149999999999997,-2.61875446263997,8.0000088,8.0000088
mp-777569,Ta2CrNO5,Ta,Ta,Cr,N,-2.6314210666296294,0.17924780166666743,1.4420000000000002,0.0,209.84423315815533,8.038156756734537,Cm,8,1.5,1.5,1.66,3.04,3.44,2.35,0.72,0.72,0.73,0.16,0.8125021008755993,1.2808988764044942,2,2,6,4,5.0,4,6,4,8,4.5,3.5,1.5,0.5,2.0,3.0,1.5,0.5,2.0,1.0,2.12,2.13,1.5599999999999998,1.8449999999999998,-2.636103805768613,0.0,2.0
mp-779348,Ta2CrNO5,Ta,Ta,Cr,N,-2.6367584746851853,0.17391039361111105,1.2699000000000003,1.9e-06,420.06631407640174,8.030926470886763,P2_1,4,1.5,1.5,1.66,3.04,3.44,2.35,0.72,0.72,0.73,0.16,0.8125021008755993,1.2808988764044942,2,2,6,4,5.0,4,6,4,8,4.5,3.5,1.5,0.5,2.0,3.0,1.5,0.5,2.0,1.0,2.12,2.13,1.5599999999999998,1.8449999999999998,-2.6051742183750375,1.9e-06,2.0
mp-780725,Li2VPO5,Li,Li,V,P,-2.6269234332010587,0.07631801189815857,1.0671,8.0005151,364.78500791639436,3.2009346196580806,Pmn2_1,31,0.98,0.98,1.63,2.19,3.44,1.91,0.76,0.76,0.79,0.44,0.7579903957136194,0.5691056910569107,1,1,5,4,4.5,2,5,4,10,5.25,4.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.16,2.19,1.8399999999999999,2.0149999999999997,-2.6115747386180006,8.0005151,8.0005151
mp-818654,Na2FePO5,Na,Na,Fe,P,-2.3065772812390537,0.04788172277777747,1.5365000000000002,40.0055057,885.7691374383993,3.1913950967796314,Pbcn,60,0.93,0.93,1.83,2.19,3.44,2.01,1.02,1.02,0.61,0.44,0.8889342392059455,0.32380952380952377,1,1,8,4,6.0,2,8,4,10,6.0,4.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0,2.0,2.42,2.01,1.8399999999999999,1.9249999999999998,-2.3159667689577526,40.0055057,40.0055057
mp-825626,BaLu2NiO5,Lu,Lu,Ba,Ni,-3.0321822092592594,0.16430057874999182,0.0,5e-06,479.60769862015775,8.668891328772208,Pnma,62,1.0,1.0,0.89,1.91,3.44,1.4,0.861,0.861,1.35,0.69,0.6606481125052827,0.6470588235294119,3,3,4,10,7.0,6,4,10,6,1.5,4.5,2.5,5.5,8.0,3.0,2.5,4.5,7.0,2.0,2.261,2.75,2.09,2.42,-3.02133100838754,5e-06,7.0
